County,Total ESTAB
Alameda,630802
Alpine,1595
Amador,19783
Butte,92095
Calaveras,28206
Colusa,8236
Contra Costa,426663
Del Norte,11243
El Dorado,95113
Fresno,342003
Glenn,11045
Humboldt,63323
Imperial,57582
Inyo,9507
Kern,304489
Kings,47559
Lake,34937
Lassen,12240
Los Angeles,3624084
Madera,50374
Marin,111868
Mariposa,9875
Mendocino,41543
Merced,90325
Modoc,4782
Mono,13717
Monterey,144659
Napa,55689
Nevada,54567
Orange,1138566
Placer,176242
Plumas,15652
Riverside,860042
Sacramento,593625
San Benito,21555
San Bernardino,739241
San Diego,1240607
San Francisco,411624
San Joaquin,256826
San Luis Obispo,124871
San Mateo,286177
Santa Barbara,159775
Santa Clara,695145
Santa Cruz,107577
Shasta,80587
Sierra,2170
Siskiyou,23073
Solano,164223
Sonoma,206327
Stanislaus,184240
Sutter,34733
Tehama,27538
Trinity,8131
Tulare,153282
Tuolumne,31582
Ventura,294659
Yolo,81623
Yuba,30973
